WELL_ID	Year	Month	Rate
1	1351	4	3,245
1	1351	5	3,859
1	1351	6	4,107
1	1351	7	5,266
1	1351	8	8,172
1	1351	9	9,962
1	1351	10	8,418
1	1351	11	10,737
1	1351	12	16,106
1	1352	1	18,160
1	1352	2	13,626
1	1352	3	12,346
1	1352	4	12,635
1	1352	5	12,475
1	1352	6	12,577
1	1352	7	12,644
1	1352	8	13,801
1	1352	9	14,503
1	1352	10	13,636
1	1352	11	14,655
1	1352	12	15,292
1	1353	1	15,178
1	1353	2	5,958
1	1353	3	16,605
1	1353	4	16,179
1	1353	5	16,175
1	1353	6	17,420
1	1353	7	16,895
1	1353	8	15,789
1	1353	9	15,177
1	1353	10	14,036
1	1353	11	14,870
1	1353	12	15,219
1	1354	1	14,202
1	1354	2	13,713
1	1354	3	13,409
1	1354	4	13,565
1	1354	5	13,231
1	1354	6	12,913
1	1354	7	7,492
1	1354	8	12,682
1	1354	9	0
1	1354	10	0
1	1354	11	0
1	1354	12	11,469
1	1355	1	21,714
1	1355	2	22,570
1	1355	3	25,215
1	1355	4	25,385
1	1355	5	23,889
1	1355	6	24,744
1	1355	7	26,087
1	1355	8	24,935
1	1355	9	24,503
1	1355	10	24,971
1	1355	11	24,049
1	1355	12	23,874
1	1356	1	18,788
1	1356	2	23,582
1	1356	3	18,456
1	1356	4	20,118
1	1356	5	19,046
1	1356	6	17,433
1	1356	7	15,558
1	1356	8	20,513
1	1356	9	22,197
1	1356	10	19,457
1	1356	11	17,549
1	1356	12	24,781
1	1357	1	20,733
1	1357	2	14,613
1	1357	3	13,608
1	1357	4	22,015
1	1357	5	23,975
1	1357	6	23,675
1	1357	7	24,225
1	1357	8	24,299
1	1357	9	25,210
1	1357	10	22,343
1	1357	11	0
1	1357	12	0
1	1358	1	25,979
1	1358	2	20,603
1	1358	3	21,259
1	1358	4	17,136
1	1358	5	23,781
1	1358	6	0
1	1358	7	0
1	1358	8	0
1	1358	9	18,653
1	1358	10	22,222
1	1358	11	0
1	1358	12	0
1	1359	1	0
1	1359	2	0
1	1359	3	0
1	1359	4	0
1	1359	5	0
1	1359	6	0
1	1359	7	0
1	1359	8	0
1	1359	9	0
1	1359	10	0
1	1359	11	0
